id,name,protein_type,primary_carb,primary_veggie,cook_method,tier,prep_time_min,target_life_stage,user_prompt,overview,ingredient_count,instruction_count,image_url
beef_sweet_potato_spinach,Beef & Sweet Potato with Spinach,beef,sweet_potato,spinach,stovetop,T1,30,adult,"Create a T1 stovetop recipe using Ground beef, 90% lean, Beef liver with Sweet potato and Spinach. Target life stage: adult. Prep under 30 minutes.","A mineral-rich staple built on lean ground beef. Sweet potato delivers vitamin A and potassium, spinach adds vitamin K, iron, and magnesium. Beef liver covers copper, B-vitamins, and choline.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/beef_sweet_potato_spinach.png
chicken_brown_rice_broccoli,Chicken Thigh & Brown Rice with Broccoli,chicken,brown_rice,broccoli,stovetop,T1,35,adult,"Create a T1 stovetop recipe using Chicken thigh, boneless, Chicken liver with Brown rice and Broccoli. Target life stage: adult. Prep under 35 minutes.","Chicken thigh provides moderate fat and good zinc. Brown rice adds manganese and iron. Broccoli is an excellent source of vitamin K, vitamin E, and fiber. Chicken liver rounds out the micronutrient profile.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/chicken_brown_rice_broccoli.png
turkey_quinoa_green_beans,Turkey & Quinoa with Green Beans,turkey,quinoa,green_beans,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Ground turkey, 93% lean, Beef liver with Quinoa and Green beans. Target life stage: adult. Prep under 25 minutes.","Lean ground turkey paired with quinoa, which is one of the few grains delivering meaningful manganese, magnesium, and phosphorus. Green beans add fiber and vitamin K. Beef liver fills the copper and vitamin A gaps turkey lacks.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/turkey_quinoa_green_beans.png
pork_oatmeal_carrots,Pork Loin & Oatmeal with Carrots,pork,oatmeal,carrots,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Pork loin, Chicken liver with Oatmeal (rolled oats) and Carrots. Target life stage: adult. Prep under 25 minutes.",Lean pork loin is an underused protein with excellent B-vitamin content. Oatmeal provides soluble fiber and manganese. Carrots deliver a big dose of vitamin A and gentle fiber. Light and easy on sensitive stomachs.,7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/pork_oatmeal_carrots.png
salmon_white_rice_peas,Canned Salmon & White Rice with Peas,fish,white_rice,peas,stovetop,T1,20,adult,"Create a T1 stovetop recipe using Canned salmon (pink, with bones), Chicken liver with White rice and Peas. Target life stage: adult. Prep under 20 minutes.","Canned salmon with bones is a powerhouse: calcium, omega-3 EPA+DHA, vitamin D, and selenium in one ingredient. Paired with easily digestible white rice and peas for fiber and manganese. No added calcium supplement needed.",7,8,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/salmon_white_rice_peas.png
beef_white_potato_kale,Beef & White Potato with Kale,beef,white_potato,kale,stovetop,T1,30,adult,"Create a T1 stovetop recipe using Ground beef, 85% lean, Beef liver with White potato and Kale. Target life stage: adult. Prep under 30 minutes.","Ground beef with white potato is a classic combination that most dogs love. Kale is a nutrient-dense green delivering exceptional vitamin K, vitamin E, calcium, and manganese. Beef liver provides the copper and choline boost.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/beef_white_potato_kale.png
chicken_sweet_potato_zucchini,Chicken Breast & Sweet Potato with Zucchini,chicken,sweet_potato,zucchini,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Chicken breast, boneless, Chicken liver with Sweet potato and Zucchini. Target life stage: adult. Prep under 25 minutes.","A lean, low-fat meal ideal for weight management days or sensitive dogs. Chicken breast is the leanest common protein. Zucchini is gentle on digestion and adds potassium. Sweet potato provides vitamin A and slow carbs.",8,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/chicken_sweet_potato_zucchini.png
lamb_brown_rice_brussels,Lamb & Brown Rice with Brussels Sprouts,lamb,brown_rice,brussels_sprouts,stovetop,T1,35,adult,"Create a T1 stovetop recipe using Ground lamb, Beef liver with Brown rice and Brussels sprouts. Target life stage: adult. Prep under 35 minutes.",Ground lamb has a richer fat profile and strong zinc content. Brussels sprouts provide among the highest vitamin K levels of any vegetable plus excellent fiber. A more robust meal for active dogs or cold weather.,7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/lamb_brown_rice_brussels.png
turkey_barley_carrots_peas,Turkey & Barley with Carrots & Peas,turkey,barley,carrots_and_peas,stovetop,T1,40,adult,"Create a T1 stovetop recipe using Ground turkey, 93% lean, Chicken liver with Barley (pearled) and Carrots. Target life stage: adult. Prep under 40 minutes.","A hearty stew-like recipe. Barley provides the highest fiber of any common grain. Carrots and peas together cover vitamin A, vitamin K, manganese, and potassium. Turkey keeps it lean while chicken liver fills the micronutrient gaps.",8,6,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/turkey_barley_carrots_peas.png
sardine_oatmeal_spinach,Sardine & Oatmeal with Spinach,fish,oatmeal,spinach,stovetop,T1,15,adult,"Create a T1 stovetop recipe using Sardines, canned in water (with bones), Beef liver with Oatmeal and Spinach. Target life stage: adult. Prep under 15 minutes.","Sardines with bones are arguably the single most nutrient-dense ingredient: calcium, omega-3, vitamin D, selenium, and protein in one can. Paired with oatmeal for easy digestion and spinach for vitamin K and iron. No separate calcium supplement needed.",6,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/sardine_oatmeal_spinach.png
